时间,玄武湖,瑞金路,奥体中心,草场门,山西路,迈皋桥,仙林大学城,中华门,彩虹桥,浦口,雄州,永阳,老职中,全市
2022-03-16 00:00:00,93.0,85.0,102.0,113.0,130.0,52.0,120.0,113.0,127.0,89.0,92.0,108.0,76.0,100.0
2022-03-16 00:05:00,92.0,82.0,103.0,116.0,128.0,43.0,121.0,112.0,128.0,92.0,74.0,107.0,74.0,97.84615384615384
2022-03-16 00:10:00,95.0,75.0,104.0,118.0,128.0,38.0,124.0,111.0,127.0,90.0,61.0,105.0,71.0,95.92307692307692
2022-03-16 00:15:00,107.0,77.0,100.0,118.0,131.0,55.0,123.0,110.0,127.0,92.0,73.0,102.0,69.0,98.76923076923077
2022-03-16 00:20:00,105.0,79.0,99.0,117.0,130.0,54.0,124.0,110.0,125.0,97.0,90.0,102.0,72.0,100.3076923076923
2022-03-16 00:25:00,105.0,77.0,99.0,117.0,129.0,56.0,120.0,107.0,123.0,99.0,85.0,101.0,72.0,99.23076923076923
2022-03-16 00:30:00,99.0,75.0,100.0,117.0,129.0,64.0,120.0,104.0,121.0,92.0,92.0,101.0,72.0,98.92307692307692
2022-03-16 00:35:00,99.0,76.0,90.0,115.0,131.0,66.0,118.0,107.0,120.0,83.0,82.0,99.0,73.0,96.84615384615384
2022-03-16 00:40:00,99.0,74.0,98.0,113.0,131.0,63.0,116.0,103.0,117.0,87.0,76.0,98.0,73.0,96.0
2022-03-16 00:45:00,99.0,77.0,96.0,112.0,130.0,63.0,115.0,102.0,113.0,89.0,67.0,98.0,73.0,94.92307692307692
2022-03-16 00:50:00,101.0,80.0,91.0,112.0,130.0,69.0,114.0,103.0,111.0,88.0,69.0,98.0,72.0,95.23076923076923
2022-03-16 00:55:00,103.0,83.0,96.0,113.0,131.0,73.0,108.0,96.0,109.0,86.0,70.0,97.0,72.0,95.15384615384616
2022-03-16 01:00:00,104.0,85.0,106.0,115.0,131.0,59.0,103.0,95.0,107.0,87.0,56.0,95.0,73.0,93.53846153846153
2022-03-16 01:05:00,104.0,87.0,101.0,113.0,131.0,57.0,100.0,94.0,105.0,90.0,63.0,90.0,71.0,92.76923076923077
2022-03-16 01:10:00,104.0,89.0,100.0,112.0,128.0,57.0,102.0,93.0,104.0,94.0,51.0,88.0,70.0,91.6923076923077
2022-03-16 01:15:00,106.0,90.0,94.0,111.0,127.0,65.0,103.0,92.0,96.0,95.0,40.0,88.0,69.0,90.46153846153847
2022-03-16 01:20:00,108.0,92.0,91.0,108.0,126.0,70.0,101.0,91.0,97.0,94.0,40.0,90.0,67.0,90.38461538461539
2022-03-16 01:25:00,107.0,95.0,85.0,108.0,125.0,68.0,100.0,93.0,101.0,93.0,45.0,90.0,67.0,90.53846153846153
2022-03-16 01:30:00,106.0,94.0,87.0,108.0,121.0,64.0,101.0,95.0,103.0,94.0,60.0,89.0,65.0,91.3076923076923
2022-03-16 01:35:00,106.0,94.0,91.0,104.0,122.0,69.0,101.0,94.0,102.0,93.0,64.0,88.0,65.0,91.76923076923077
2022-03-16 01:40:00,104.0,94.0,93.0,101.0,122.0,75.0,97.0,89.0,104.0,92.0,63.0,86.0,67.0,91.3076923076923
2022-03-16 01:45:00,100.0,95.0,81.0,96.0,123.0,78.0,95.0,86.0,103.0,88.0,73.0,86.0,67.0,90.07692307692308
2022-03-16 01:50:00,99.0,94.0,78.0,96.0,121.0,73.0,94.0,87.0,100.0,84.0,78.0,84.0,69.0,89.0
2022-03-16 01:55:00,98.0,92.0,77.0,93.0,121.0,62.0,94.0,84.0,97.0,81.0,69.0,82.0,69.0,86.07692307692308
2022-03-16 02:00:00,98.0,91.0,75.0,93.0,119.0,52.0,93.0,78.0,95.0,79.0,47.0,81.0,71.0,82.46153846153847
2022-03-16 02:05:00,97.0,90.0,72.0,93.0,117.0,58.0,94.0,85.0,94.0,76.0,36.0,80.0,77.0,82.23076923076923
2022-03-16 02:10:00,96.0,92.0,71.0,91.0,116.0,64.0,95.0,87.0,94.0,75.0,37.0,76.0,78.0,82.46153846153847
2022-03-16 02:15:00,94.0,90.0,76.0,89.0,114.0,66.0,93.0,82.0,94.0,77.0,35.0,73.0,78.0,81.61538461538461
2022-03-16 02:20:00,93.0,89.0,77.0,88.0,113.0,74.0,87.0,83.0,97.0,81.0,39.0,72.0,74.0,82.07692307692308
2022-03-16 02:25:00,92.0,90.0,77.0,87.0,112.0,78.0,86.0,85.0,99.0,85.0,36.0,71.0,73.0,82.38461538461539
2022-03-16 02:30:00,92.0,89.0,73.0,87.0,111.0,85.0,85.0,81.0,99.0,89.0,34.0,70.0,68.0,81.76923076923077
2022-03-16 02:35:00,91.0,89.0,74.0,88.0,111.0,90.0,87.0,81.0,99.0,91.0,35.0,69.0,67.0,82.46153846153847
2022-03-16 02:40:00,91.0,88.0,72.0,85.0,108.0,89.0,88.0,77.0,95.0,90.0,32.0,70.0,65.0,80.76923076923077
2022-03-16 02:45:00,91.0,88.0,71.0,84.0,108.0,92.0,88.0,75.0,92.0,88.0,33.0,68.0,63.0,80.07692307692308
2022-03-16 02:50:00,92.0,88.0,71.0,82.0,104.0,94.0,88.0,75.0,81.0,87.0,33.0,66.0,69.0,79.23076923076923
2022-03-16 02:55:00,94.0,89.0,73.0,78.0,95.0,96.0,89.0,80.0,74.0,86.0,25.0,66.0,70.0,78.07692307692308
2022-03-16 03:00:00,95.0,88.0,80.0,80.0,86.0,96.0,90.0,85.0,82.0,88.0,25.0,67.0,70.0,79.38461538461539
2022-03-16 03:05:00,96.0,83.0,80.0,80.0,87.0,94.0,88.0,82.0,90.0,88.0,27.0,66.0,77.0,79.84615384615384
2022-03-16 03:10:00,97.0,82.0,76.0,80.0,102.0,90.0,85.0,86.0,90.0,87.0,27.0,67.0,79.0,80.61538461538461
2022-03-16 03:15:00,97.0,83.0,74.0,77.0,107.0,77.0,85.0,85.0,92.0,88.0,17.0,68.0,77.0,79.0
2022-03-16 03:20:00,95.0,85.0,74.0,79.0,107.0,68.0,87.0,82.0,90.0,88.0,9.0,69.0,80.0,77.92307692307692
